code,title,description,text
2153.0501,2153.0501 and for carrying out Point of interconnect,"Sound Engineer, Media testing for customers. Qualification Pack Details: Sound Engineer, Media is responsible for recording/mixing sound sources to create QP NOS Reference TEL/Q6201 end-products that meet the quality QP NOS Name Core Engineer standards and requirements of NSQF Level 6 production. ISCO 08 Unit Group Details: Qualification Pack Details: Code 2153 QP NOS Reference MES/Q3402 Title Telecommunication Engineers QP NOS Name Sound Engineer 2153.9900 NSQF Level 4 Telecommunication Engineers, Other ISCO 08 Unit Group Details: Code 2153 Telecommunication Engineers, Other Title Telecommunication Engineers include engineers who conduct research and advise on, design, and direct the","2153.0501 and for carrying out Point of interconnect Sound Engineer, Media testing for customers. Qualification Pack Details: Sound Engineer, Media is responsible for recording/mixing sound sources to create QP NOS Reference TEL/Q6201 end-products that meet the quality QP NOS Name Core Engineer standards and requirements of NSQF Level 6 production. ISCO 08 Unit Group Details: Qualification Pack Details: Code 2153 QP NOS Reference MES/Q3402 Title Telecommunication Engineers QP NOS Name Sound Engineer 2153.9900 NSQF Level 4 Telecommunication Engineers, Other ISCO 08 Unit Group Details: Code 2153 Telecommunication Engineers, Other Title Telecommunication Engineers include engineers who conduct research and advise on, design, and direct the"
2153.0511,"2153.0511 construction, functioning,",Sound Designer maintenance and repair of telecommunication systems and Sound Designer designs the sound equipment not elsewhere classified concept for a production and selects the studios/equipment for recordings. Qualification Pack Details: QP NOS Reference Qualification Pack Details: QP NOS Name QP NOS Reference MES/Q3401 NSQF Level VOLUME II A 144,"2153.0511 construction, functioning, Sound Designer maintenance and repair of telecommunication systems and Sound Designer designs the sound equipment not elsewhere classified concept for a production and selects the studios/equipment for recordings. Qualification Pack Details: QP NOS Reference Qualification Pack Details: QP NOS Name QP NOS Reference MES/Q3401 NSQF Level VOLUME II A 144"
2161.0100,2161.0100,"Building Architects, Town and Traffic Architect Planners, Other conduct research and advise on design of residential, commercial and industrial buildings, VOLUME II A 145","2161.0100 Building Architects, Town and Traffic Architect Planners, Other conduct research and advise on design of residential, commercial and industrial buildings, VOLUME II A 145"
2163.0201,2163.0201,"Design Merchandiser Family 2163 Product and Garment Designers Design Merchandiser develops jewellery design concepts and plays key role in Product and Garment Designers design product development in the cast and and develop products for manufacture diamond-set jewellery manufacturing in and prepare designs and India. The individual at work assesses Specifications of products for mass, batch market trends by, researching the market, and one-off production. taking cues from exhibitions and interacting with customers and designers.","2163.0201 Design Merchandiser Family 2163 Product and Garment Designers Design Merchandiser develops jewellery design concepts and plays key role in Product and Garment Designers design product development in the cast and and develop products for manufacture diamond-set jewellery manufacturing in and prepare designs and India. The individual at work assesses Specifications of products for mass, batch market trends by, researching the market, and one-off production. taking cues from exhibitions and interacting with customers and designers."
2163.0100,"2163.0100 The individual develops design concepts,","Package Designer/Packaging assesses the value of inputs to price jewellery for different budgets, and Designer presents design brief to senior management or client for finalisation. Package Designer designs containers for products, such as foods, beverages, Qualification Pack Details: toiletries, cigarettes, and medicines. QP NOS Reference Confers with representatives of engineering, marketing, management, and G&J/Q2303 other departments to determine VOLUME II A 146","2163.0100 The individual develops design concepts, Package Designer/Packaging assesses the value of inputs to price jewellery for different budgets, and Designer presents design brief to senior management or client for finalisation. Package Designer designs containers for products, such as foods, beverages, Qualification Pack Details: toiletries, cigarettes, and medicines. QP NOS Reference Confers with representatives of engineering, marketing, management, and G&J/Q2303 other departments to determine VOLUME II A 146"
2163.0301,2163.0301 trends and increase customer acceptance.,Hand Sketch Designer (Basic) Qualification Pack Details: QP NOS Reference Hand Sketch Designer (Basic) uses QP NOS Name stationery and NSQF Level measuring tools to create a range of basic jewellery design by hand. ISCO 08 Unit Group Details: Qualification Pack Details: Code 2163 Title Product and Garment QP NOS Reference G&J/Q2303 Designers QP NOS Name Hand Sketch Designer (Basic),2163.0301 trends and increase customer acceptance. Hand Sketch Designer (Basic) Qualification Pack Details: QP NOS Reference Hand Sketch Designer (Basic) uses QP NOS Name stationery and NSQF Level measuring tools to create a range of basic jewellery design by hand. ISCO 08 Unit Group Details: Qualification Pack Details: Code 2163 Title Product and Garment QP NOS Reference G&J/Q2303 Designers QP NOS Name Hand Sketch Designer (Basic)
2163.0500,2163.0500,NSQF Level 4 Fashion Designer ISCO 08 Unit Group Details: Code 2163 Fashion Designer should have the skills Title Product and Garment and knowledge to develop fashion design Designers briefs and manage the development of design concepts for commercial,2163.0500 NSQF Level 4 Fashion Designer ISCO 08 Unit Group Details: Code 2163 Fashion Designer should have the skills Title Product and Garment and knowledge to develop fashion design Designers briefs and manage the development of design concepts for commercial
2163.0400,2163.0400 production. The initial process includes,"conducting market research and Furniture Designer trend analysis for the particular season and identifying a theme for the collection; Furniture Designer designs furniture line then creating a mood board and colour or individual pieces for manufacture board based on the theme, develop an according to knowledge of design trends, entire range according to the business offerings or competition, capability of plan and as per the theme board. After production facilities and characteristics of finalization on the range with the team, company's traditional market. Studies create the techpack for each style. Work market trends and customer needs and with different teams to create a prototype discusses design suggestions with design based on the techpack. Evaluation production management and trade of the sample and channels. Evaluates proposals and Documentation of the same is also done prepares freehand sketches of promising by the designs. Obtains approval from customer, Designer. design committee or company management and originates scale drawing Qualification Pack Details: of approved designs, using drawing VOLUME II A 147","2163.0400 production. The initial process includes conducting market research and Furniture Designer trend analysis for the particular season and identifying a theme for the collection; Furniture Designer designs furniture line then creating a mood board and colour or individual pieces for manufacture board based on the theme, develop an according to knowledge of design trends, entire range according to the business offerings or competition, capability of plan and as per the theme board. After production facilities and characteristics of finalization on the range with the team, company's traditional market. Studies create the techpack for each style. Work market trends and customer needs and with different teams to create a prototype discusses design suggestions with design based on the techpack. Evaluation production management and trade of the sample and channels. Evaluates proposals and Documentation of the same is also done prepares freehand sketches of promising by the designs. Obtains approval from customer, Designer. design committee or company management and originates scale drawing Qualification Pack Details: of approved designs, using drawing VOLUME II A 147"
2163.0600,2163.0600 2164.0100,"Textile Designer Town Planner Textile Designer develops patterns and Town Planner designs layout and co- creates designs for use in manufacture of ordinates development of towns, cities cloth. Studies cuttings of designs brought and colonies, taking into consideration out by other Indian as well as foreign various aspects, such as financial mills. Reviews literature on textile resources, location of residential areas, designing and watches views literature on industries, schools, parks etc. Conducts textile designing and watches current town planning survey of specified area for trends in style. Develops designs of new designing layout. Collects data from State patterns and colour combinations. Governments, Municipal Corporation and Prepares rough drawing of designs. other sources, regarding climate, soil Reproduces final designs on graph paper condition, contours, rivers, transport and indicating interlacement of warp and public health facilities, public utility weft. Supervises inserting of pattern on services, age and condition of buildings if dobby or jacquard looms. Examines any, density of population, traffic, wind samples of woven pattern and corrects or direction etc. Analyses this data and amends design on graph, if necessary. consults specialists as necessary, such as Checks functioning of cards punched by Engineer, Industrialist, Geologist, Card Cutter and pegging of lattice done by Sociologist, Geographer, Statistician, etc. Lattice Rigger. for expert opinion. Prepares road pattern accordingly and fills in details indicating Qualification Pack Details: locations of open spaces, parks, school, hospital and other buildings, etc. Prepares QP NOS Reference detailed drawings of area and obtains QP NOS Name approval of sponsoring authority. Submits NSQF Level copies of plan to Corporation or State authorities for their concurrence; passes ISCO 08 Unit Group Details: on approved plan to Architect for Code 2163 designing and preparing estimates. May Title Product and Garment design and prepare estimates etc. if Designers qualified as Architect. Family 2164 Qualification Pack Details: Town and Traffic Planners QP NOS Reference QP NOS Name NSQF Level VOLUME II A 148","2163.0600 2164.0100 Textile Designer Town Planner Textile Designer develops patterns and Town Planner designs layout and co- creates designs for use in manufacture of ordinates development of towns, cities cloth. Studies cuttings of designs brought and colonies, taking into consideration out by other Indian as well as foreign various aspects, such as financial mills. Reviews literature on textile resources, location of residential areas, designing and watches views literature on industries, schools, parks etc. Conducts textile designing and watches current town planning survey of specified area for trends in style. Develops designs of new designing layout. Collects data from State patterns and colour combinations. Governments, Municipal Corporation and Prepares rough drawing of designs. other sources, regarding climate, soil Reproduces final designs on graph paper condition, contours, rivers, transport and indicating interlacement of warp and public health facilities, public utility weft. Supervises inserting of pattern on services, age and condition of buildings if dobby or jacquard looms. Examines any, density of population, traffic, wind samples of woven pattern and corrects or direction etc. Analyses this data and amends design on graph, if necessary. consults specialists as necessary, such as Checks functioning of cards punched by Engineer, Industrialist, Geologist, Card Cutter and pegging of lattice done by Sociologist, Geographer, Statistician, etc. Lattice Rigger. for expert opinion. Prepares road pattern accordingly and fills in details indicating Qualification Pack Details: locations of open spaces, parks, school, hospital and other buildings, etc. Prepares QP NOS Reference detailed drawings of area and obtains QP NOS Name approval of sponsoring authority. Submits NSQF Level copies of plan to Corporation or State authorities for their concurrence; passes ISCO 08 Unit Group Details: on approved plan to Architect for Code 2163 designing and preparing estimates. May Title Product and Garment design and prepare estimates etc. if Designers qualified as Architect. Family 2164 Qualification Pack Details: Town and Traffic Planners QP NOS Reference QP NOS Name NSQF Level VOLUME II A 148"
2164.0200,2164.0200,"Cartographers and Surveyors determine Traffic Planner the exact position of, or prepare and revise digital, graphic and pictorial maps, Traffic Planner studies Vehicular-traffic charts or other visual representations of, conditions on urban or national highways natural and constructed features and and develops plan for altering conditions boundaries of land, seas, underground to promote safety and reduce congestion. areas and celestial bodies, applying Studies traffic condition from fixed scientific and mathematical principles. position to detect unsafe or congested conditions and observes location of 2165.0100 alternative routes. Evaluates statistical Cartographer and physical data regarding such considerations as vehicle count per mile, Cartographer prepares maps from aerial load-capacity of pavement, and feasibility photographs, technical drawings, data etc. of widening pavement and projected Checks workability and combination of air traffic loads in future. Conducts photographs to bring them to proposed experiments with alternative traffic plans scale of map. Marks streams, railways, on nearby routes and on same route with sites, contours, vegetation and other modification in signals, traffic directions or items of aerial photographs with ink for other controlled devices and techniques. details. Draws maps to prescribed scale Evaluates results of experiments and ensuring correct geographical position directs or recommends permanent with regard to boundary lines, latitudes changes to improve conditions. Confers and longitudes. Indicates physical, with citizens and government officials to political, industrial and other details on resolve complaints concerning traffic maps using respective conventional signs. problems requiring cooperation of public Traces ink-marked items on tracing film or other jurisdiction. May prepare public for use in administration, research, information materials to enlist survey, excavation, construction, mining, cooperation of public in reducing exploration of minerals etc. congestion and accidents. May integrate results of traffic studies with work of Qualification Pack Details: other agencies to develop transportation plans. QP NOS Reference QP NOS Name Qualification Pack Details: NSQF Level QP NOS Reference ISCO 08 Unit Group Details: QP NOS Name NSQF Level Code 2165 Title Cartographers and Surveyors ISCO 08 Unit Group Details:","2164.0200 Cartographers and Surveyors determine Traffic Planner the exact position of, or prepare and revise digital, graphic and pictorial maps, Traffic Planner studies Vehicular-traffic charts or other visual representations of, conditions on urban or national highways natural and constructed features and and develops plan for altering conditions boundaries of land, seas, underground to promote safety and reduce congestion. areas and celestial bodies, applying Studies traffic condition from fixed scientific and mathematical principles. position to detect unsafe or congested conditions and observes location of 2165.0100 alternative routes. Evaluates statistical Cartographer and physical data regarding such considerations as vehicle count per mile, Cartographer prepares maps from aerial load-capacity of pavement, and feasibility photographs, technical drawings, data etc. of widening pavement and projected Checks workability and combination of air traffic loads in future. Conducts photographs to bring them to proposed experiments with alternative traffic plans scale of map. Marks streams, railways, on nearby routes and on same route with sites, contours, vegetation and other modification in signals, traffic directions or items of aerial photographs with ink for other controlled devices and techniques. details. Draws maps to prescribed scale Evaluates results of experiments and ensuring correct geographical position directs or recommends permanent with regard to boundary lines, latitudes changes to improve conditions. Confers and longitudes. Indicates physical, with citizens and government officials to political, industrial and other details on resolve complaints concerning traffic maps using respective conventional signs. problems requiring cooperation of public Traces ink-marked items on tracing film or other jurisdiction. May prepare public for use in administration, research, information materials to enlist survey, excavation, construction, mining, cooperation of public in reducing exploration of minerals etc. congestion and accidents. May integrate results of traffic studies with work of Qualification Pack Details: other agencies to develop transportation plans. QP NOS Reference QP NOS Name Qualification Pack Details: NSQF Level QP NOS Reference ISCO 08 Unit Group Details: QP NOS Name NSQF Level Code 2165 Title Cartographers and Surveyors ISCO 08 Unit Group Details:"
2165.0200,2165.0200,Code 2164 VOLUME II A 149,2165.0200 Code 2164 VOLUME II A 149
2165.0300,2165.0300,"Surveyor, Topographical surveys land to Aerial-Photograph Interpreter determine out line, contours and relative position of control points (land marks) on Aerial-Photograph Interpreter analyses tract of land, cost, harbour, etc. for aerial photographs to detect significant preparing topographical and other maps industrial, resource, or topographical and records. Establishes control points data. Studies photographs to locate roads, and pillars to do instrumentation work on industrial centres, rivers, forest areas, and ground to prepare maps. Provides to determine nature of terrain. Interprets identification marks on ground for photographs to evaluate the potentiality photographs taken in aerial survey. Fixes of resources. May draw maps for use of position of control points on ground in field officers in planning and exploitation relation to some permanent position and of resources. May interpret photographs with reference to celestial bodies using for timber evaluation, water shed astrolabes (for lat. and long), transit management, construction, or mining. telescopes (for time and longitudes), field May request enlargement of photograph magnate instruments (for magnetic forces for more detailed analysis. May use and elements), theodolites and precise computers and data banks to store, levels, tellurometers (electronic distance retrieve, and compare information. measuring instruments) barometers for atmospheric pressure, etc. Adjusts and Qualification Pack Details: sets theodolites, compasses, plane tables, QP NOS Reference levelling and other instruments for QP NOS Name surveyor, observes and records NSQF Level measurements and angles from three determined points (triangulation), ISCO 08 Unit Group Details: locations to scale on proper sketch. Code 2165 Corrects margin of error due to worn-out Title Cartographers and Surveyors tapes which become incorrect, and readings on instruments which are","2165.0300 Surveyor, Topographical surveys land to Aerial-Photograph Interpreter determine out line, contours and relative position of control points (land marks) on Aerial-Photograph Interpreter analyses tract of land, cost, harbour, etc. for aerial photographs to detect significant preparing topographical and other maps industrial, resource, or topographical and records. Establishes control points data. Studies photographs to locate roads, and pillars to do instrumentation work on industrial centres, rivers, forest areas, and ground to prepare maps. Provides to determine nature of terrain. Interprets identification marks on ground for photographs to evaluate the potentiality photographs taken in aerial survey. Fixes of resources. May draw maps for use of position of control points on ground in field officers in planning and exploitation relation to some permanent position and of resources. May interpret photographs with reference to celestial bodies using for timber evaluation, water shed astrolabes (for lat. and long), transit management, construction, or mining. telescopes (for time and longitudes), field May request enlargement of photograph magnate instruments (for magnetic forces for more detailed analysis. May use and elements), theodolites and precise computers and data banks to store, levels, tellurometers (electronic distance retrieve, and compare information. measuring instruments) barometers for atmospheric pressure, etc. Adjusts and Qualification Pack Details: sets theodolites, compasses, plane tables, QP NOS Reference levelling and other instruments for QP NOS Name surveyor, observes and records NSQF Level measurements and angles from three determined points (triangulation), ISCO 08 Unit Group Details: locations to scale on proper sketch. Code 2165 Corrects margin of error due to worn-out Title Cartographers and Surveyors tapes which become incorrect, and readings on instruments which are"
2165.0400,2165.0400,"affected by light, sound, heat, tension, Surveyor, Photogrammetric environments and gravitational changes due to varying reserves underneath ground. May be known as Superintendent Surveyor, Photogrammetric; Surveyor, Surveyor Officer Surveyor or Surveyor Reproduction prepares topographical and according to degree of authority. project maps from air photographs of area by determining longitude and latitude of Qualification Pack Details: number of points on ground by triangulation or traverse method. Connect QP NOS Reference photographs together in proper QP NOS Name sequences aligning, features, pointing out NSQF Level details and information such as names of places, rivers, tracks administrative and ISCO 08 Unit Group Details: forest boundaries and other verification Code 2165 data to have continuous picture of area Title Cartographers and Surveyors photographed. Identifies control points VOLUME II A 150","2165.0400 affected by light, sound, heat, tension, Surveyor, Photogrammetric environments and gravitational changes due to varying reserves underneath ground. May be known as Superintendent Surveyor, Photogrammetric; Surveyor, Surveyor Officer Surveyor or Surveyor Reproduction prepares topographical and according to degree of authority. project maps from air photographs of area by determining longitude and latitude of Qualification Pack Details: number of points on ground by triangulation or traverse method. Connect QP NOS Reference photographs together in proper QP NOS Name sequences aligning, features, pointing out NSQF Level details and information such as names of places, rivers, tracks administrative and ISCO 08 Unit Group Details: forest boundaries and other verification Code 2165 data to have continuous picture of area Title Cartographers and Surveyors photographed. Identifies control points VOLUME II A 150"
2165.0600,2165.0600,"Qualification Pack Details: Surveyor, Hydrographic QP NOS Reference QP NOS Name Surveyor, Hydrographic; Surveyor, Marine NSQF Level surveys and maps areas bounded, banked or inundated by waters of rivers, lakes, ISCO 08 Unit Group Details: sea, water-sheds, etc. indicating shore Code 2165 lines and including other information in Title Cartographers and Surveyors chart for use of navigators and for constructing piers and light houses.","2165.0600 Qualification Pack Details: Surveyor, Hydrographic QP NOS Reference QP NOS Name Surveyor, Hydrographic; Surveyor, Marine NSQF Level surveys and maps areas bounded, banked or inundated by waters of rivers, lakes, ISCO 08 Unit Group Details: sea, water-sheds, etc. indicating shore Code 2165 lines and including other information in Title Cartographers and Surveyors chart for use of navigators and for constructing piers and light houses."
2165.0500,"2165.0500 Determines underwater features of sea,","Surveyor, Mine nature of river beds and depth of waters from several points (control points) by Surveyor, Mine surveys mines and sounding echoes and or depth charges prepares maps indicating location, from survey ships for determining topographical and underground features navigability and constructing piers and describing outline, results of deposits, light houses. Collects details regarding natural or other barriers, linking space for behaviour of ocean currents and prepares passages and seams, crevices for driving charts. Register surfacing of rocks in chart shafts for mechanical quarrying, etc. for for warning to boats chartering those open pit and underground mines. waters. Incorporates tidal behaviour Performs function of Surveyor, during different times of year in maps to Topographical and directs Topo-Auxiliaries add navigation. Produces charts and other or helpers in location of points and in ancillary publications such as ‘Notices to placing of instruments, theodolites, Mariners’ to inform them of changes in compasses, etc. Works as Topo-Traverser waters, light houses, etc. May be known for connecting points by metered chains as Civil Hydrographic Assistant, Civil and takes measurements. Records size, Hydrographic Officer; Principal Civil location, elevation, angles, and plots data Hydrographic Officer; Assistant Chief on drawing-paper marking boundaries, Hydrographic; Chief, Civil Hydrographic showing exact location of roads according to degree of responsibility. structures, natural or artificial barriers, surface and underground mineral, bringing out topographical features. May specialize in survey of coalmines, metal Qualification Pack Details: mines or quarries. QP NOS Reference QP NOS Name Qualification Pack Details: NSQF Level VOLUME II A 151","2165.0500 Determines underwater features of sea, Surveyor, Mine nature of river beds and depth of waters from several points (control points) by Surveyor, Mine surveys mines and sounding echoes and or depth charges prepares maps indicating location, from survey ships for determining topographical and underground features navigability and constructing piers and describing outline, results of deposits, light houses. Collects details regarding natural or other barriers, linking space for behaviour of ocean currents and prepares passages and seams, crevices for driving charts. Register surfacing of rocks in chart shafts for mechanical quarrying, etc. for for warning to boats chartering those open pit and underground mines. waters. Incorporates tidal behaviour Performs function of Surveyor, during different times of year in maps to Topographical and directs Topo-Auxiliaries add navigation. Produces charts and other or helpers in location of points and in ancillary publications such as ‘Notices to placing of instruments, theodolites, Mariners’ to inform them of changes in compasses, etc. Works as Topo-Traverser waters, light houses, etc. May be known for connecting points by metered chains as Civil Hydrographic Assistant, Civil and takes measurements. Records size, Hydrographic Officer; Principal Civil location, elevation, angles, and plots data Hydrographic Officer; Assistant Chief on drawing-paper marking boundaries, Hydrographic; Chief, Civil Hydrographic showing exact location of roads according to degree of responsibility. structures, natural or artificial barriers, surface and underground mineral, bringing out topographical features. May specialize in survey of coalmines, metal Qualification Pack Details: mines or quarries. QP NOS Reference QP NOS Name Qualification Pack Details: NSQF Level VOLUME II A 151"
2165.9900,2165.9900 hoardings etc. in suitable columns. Studies,"specifications and discusses details and Cartographers and Surveyors, cost with client. Determines subject Other matter in consultation with client and draws designs and sketches with or Cartographers and Surveyors, Other without colour to desired effect. Executes Cartographers and Surveyors apply approved design in required medium such surveying methods and techniques to as paints, oils, water-colour etc. determine the exact position of natural and constructed features and boundaries Qualification Pack Details: of land, seas, underground areas and QP NOS Reference celestial bodies, and prepare or revise QP NOS Name digital, graphic and pictorial NSQF Level representations and all other Cartographers and Surveyors not ISCO 08 Unit Group Details: classified elsewhere. Code 2166 Title Graphic and Multimedia Qualification Pack Details: Designers QP NOS Reference QP NOS Name","2165.9900 hoardings etc. in suitable columns. Studies specifications and discusses details and Cartographers and Surveyors, cost with client. Determines subject Other matter in consultation with client and draws designs and sketches with or Cartographers and Surveyors, Other without colour to desired effect. Executes Cartographers and Surveyors apply approved design in required medium such surveying methods and techniques to as paints, oils, water-colour etc. determine the exact position of natural and constructed features and boundaries Qualification Pack Details: of land, seas, underground areas and QP NOS Reference celestial bodies, and prepare or revise QP NOS Name digital, graphic and pictorial NSQF Level representations and all other Cartographers and Surveyors not ISCO 08 Unit Group Details: classified elsewhere. Code 2166 Title Graphic and Multimedia Qualification Pack Details: Designers QP NOS Reference QP NOS Name"
2166.0111,2166.0111,"NSQF Level Art Director ISCO 08 Unit Group Details: Art Director needs to conceptualise the Code 2165 creative vision and style of the production Title Cartographers and Surveyors and ensure all creative elements conform to it Family 2166 Graphic and Multimedia Designers Qualification Pack Details: QP NOS Reference MES/Q0501 Graphic and Multimedia Designers design QP NOS Name Art Director information content for visual and audio NSQF Level 5 communication, publication and display using print, film, electronic, digital and ISCO 08 Unit Group Details: other forms of visual and audio media. Code 2166 Title Graphic and Multimedia They create special effects, animation, or Designers other visual images for use in computer games, movies, music videos, print media","2166.0111 NSQF Level Art Director ISCO 08 Unit Group Details: Art Director needs to conceptualise the Code 2165 creative vision and style of the production Title Cartographers and Surveyors and ensure all creative elements conform to it Family 2166 Graphic and Multimedia Designers Qualification Pack Details: QP NOS Reference MES/Q0501 Graphic and Multimedia Designers design QP NOS Name Art Director information content for visual and audio NSQF Level 5 communication, publication and display using print, film, electronic, digital and ISCO 08 Unit Group Details: other forms of visual and audio media. Code 2166 Title Graphic and Multimedia They create special effects, animation, or Designers other visual images for use in computer games, movies, music videos, print media"
2166.0201,2166.0201,and advertisements. Multi Media Artist and,2166.0201 and advertisements. Multi Media Artist and
2166.0100,2166.0100 Animator/Animator,Commercial Artist VOLUME II A 152,2166.0100 Animator/Animator Commercial Artist VOLUME II A 152
2166.0203,2166.0203,"to be scanned, edited, coloured, textured or animated by computer. Create two- Rigging Artist dimensional and three-dimensional images depicting objects in motion or Rigging Artist in the Media and illustrating a process, using computer Entertainment Industry is also known as a animation or modelling programmes. CG Rigger. Individuals at this job are Design complex graphics and animation, responsible for creating computer using independent judgment, creativity, generated controls/rigs for movements in and computer equipment. Develop models used for animation. briefings, brochures, multimedia presentations, web pages, promotional Qualification Pack Details: products, technical illustrations, and QP NOS Reference computer artwork for use in products, MES/Q02502 technical manuals, literature, newsletters QP NOS Name Rigging Artist and slide shows. NSQF Level 4 Qualification Pack Details: ISCO 08 Unit Group Details: QP NOS Reference MES/Q0701 Code 2166 QP NOS Name Animator Title Graphic and Multimedia NSQF Level 4 Designers ISCO 08 Unit Group Details: 2166.0204 Code 2166 Texturing Artist VOLUME II A 153","2166.0203 to be scanned, edited, coloured, textured or animated by computer. Create two- Rigging Artist dimensional and three-dimensional images depicting objects in motion or Rigging Artist in the Media and illustrating a process, using computer Entertainment Industry is also known as a animation or modelling programmes. CG Rigger. Individuals at this job are Design complex graphics and animation, responsible for creating computer using independent judgment, creativity, generated controls/rigs for movements in and computer equipment. Develop models used for animation. briefings, brochures, multimedia presentations, web pages, promotional Qualification Pack Details: products, technical illustrations, and QP NOS Reference computer artwork for use in products, MES/Q02502 technical manuals, literature, newsletters QP NOS Name Rigging Artist and slide shows. NSQF Level 4 Qualification Pack Details: ISCO 08 Unit Group Details: QP NOS Reference MES/Q0701 Code 2166 QP NOS Name Animator Title Graphic and Multimedia NSQF Level 4 Designers ISCO 08 Unit Group Details: 2166.0204 Code 2166 Texturing Artist VOLUME II A 153"
2166.0207,2166.0207,ISCO 08 Unit Group Details: Clean-up Artist Code 2166 Title Graphic and Multimedia Clean-up Artist needs to clean-up/detail- Designers out the designs of the Character designers/Layout designers and keep,2166.0207 ISCO 08 Unit Group Details: Clean-up Artist Code 2166 Title Graphic and Multimedia Clean-up Artist needs to clean-up/detail- Designers out the designs of the Character designers/Layout designers and keep
2166.0205,2166.0205 them ready for production,Animation Director Qualification Pack Details: QP NOS Reference MES/Q0506 Animation Director needs to support the QP NOS Name clean-up Artist Director and guide efforts of the NSQF Level 3 production team towards achieving the common creative vision. ISCO 08 Unit Group Details: Code 2166 Qualification Pack Details: Title Graphic and Multimedia QP NOS Reference MES/Q1302 Designers QP NOS Name Animation Director NSQF Level 5 2166.0208 ISCO 08 Unit Group Details: Compositor Code 2166 Title Graphic and Multimedia Compositor needs to merge the various Designers layers/elements created during post- production into a final product,2166.0205 them ready for production Animation Director Qualification Pack Details: QP NOS Reference MES/Q0506 Animation Director needs to support the QP NOS Name clean-up Artist Director and guide efforts of the NSQF Level 3 production team towards achieving the common creative vision. ISCO 08 Unit Group Details: Code 2166 Qualification Pack Details: Title Graphic and Multimedia QP NOS Reference MES/Q1302 Designers QP NOS Name Animation Director NSQF Level 5 2166.0208 ISCO 08 Unit Group Details: Compositor Code 2166 Title Graphic and Multimedia Compositor needs to merge the various Designers layers/elements created during post- production into a final product
2166.0206,2166.0206,"Character Designer Qualification Pack Details: QP NOS Reference MES/Q3505 Character Designer needs to design the QP NOS Name Compositor character pack including the look, NSQF Level 4 expressions, poses, gestures, turnarounds, personality traits of characters for a production VOLUME II A 154","2166.0206 Character Designer Qualification Pack Details: QP NOS Reference MES/Q3505 Character Designer needs to design the QP NOS Name Compositor character pack including the look, NSQF Level 4 expressions, poses, gestures, turnarounds, personality traits of characters for a production VOLUME II A 154"
2166.0209,2166.0209 Qualification Pack Details:,Storyboard Artist QP NOS Reference MES/Q3501 QP NOS Name VFX Editor NSQF Level 4 Storyboard Artist needs to translate the script/story/idea/concept into a visual ISCO 08 Unit Group Details: medium using a series of illustrated frames Code 2166 Title Graphic and Multimedia Qualification Pack Details: Designers QP NOS Reference MES/Q0507,2166.0209 Qualification Pack Details: Storyboard Artist QP NOS Reference MES/Q3501 QP NOS Name VFX Editor NSQF Level 4 Storyboard Artist needs to translate the script/story/idea/concept into a visual ISCO 08 Unit Group Details: medium using a series of illustrated frames Code 2166 Title Graphic and Multimedia Qualification Pack Details: Designers QP NOS Reference MES/Q0507
2166.0212,2166.0212,QP NOS Name Storyboard Artist NSQF Level 3 Roto Artist ISCO 08 Unit Group Details: Roto Artist needs to break content down Code 2166 into individual frames/elements and Title Graphic and Multimedia alter/re-create content in accordance to Designers requirements,2166.0212 QP NOS Name Storyboard Artist NSQF Level 3 Roto Artist ISCO 08 Unit Group Details: Roto Artist needs to break content down Code 2166 into individual frames/elements and Title Graphic and Multimedia alter/re-create content in accordance to Designers requirements
2166.0210,2166.0210 Qualification Pack Details:,"Rendering Artist QP NOS Reference MES/Q3504 QP NOS Name Roto Artist NSQF Level 4 Rendering Artist needs to convert three- dimensional geometric models into a set ISCO 08 Unit Group Details: of viewable images Code 2166 Title Graphic and Multimedia Designers Qualification Pack Details: 2166.0300 QP NOS Reference MES/Q3503 Web Designer QP NOS Name Rendering Artist NSQF Level 4 Web Designer provides strategic and sustainable aesthetic to the web site that ISCO 08 Unit Group Details: supports business goals, information Code 2166 architecture, customer service Title Graphic and Multimedia applications, and brand strategy. Drives Designers visual recommendations and solutions to both current page type and future","2166.0210 Qualification Pack Details: Rendering Artist QP NOS Reference MES/Q3504 QP NOS Name Roto Artist NSQF Level 4 Rendering Artist needs to convert three- dimensional geometric models into a set ISCO 08 Unit Group Details: of viewable images Code 2166 Title Graphic and Multimedia Designers Qualification Pack Details: 2166.0300 QP NOS Reference MES/Q3503 Web Designer QP NOS Name Rendering Artist NSQF Level 4 Web Designer provides strategic and sustainable aesthetic to the web site that ISCO 08 Unit Group Details: supports business goals, information Code 2166 architecture, customer service Title Graphic and Multimedia applications, and brand strategy. Drives Designers visual recommendations and solutions to both current page type and future"
2166.0211,2166.0211 redesign efforts. Translates complex,concepts to convincing and compelling VFX Editor VOLUME II A 155,2166.0211 redesign efforts. Translates complex concepts to convincing and compelling VFX Editor VOLUME II A 155
